Organism	Protein	COG	Cat	Annotation
304	331	COG3214	L	DNA glycosylase YcaQ, repair of DNA interstrand crosslinks
330	554	COG3285	L	Eukaryotic-type DNA primase
89	89	COG3298	L	Predicted 3'-5' exonuclease related to the exonuclease domain of PolB
72	124	COG3390	L	Replication protein A (RPA) family protein
93	103	COG3392	L	Adenine-specific DNA methylase
233	301	COG3449	L	DNA gyrase inhibitor GyrI/SbmC
241	246	COG3569	L	DNA topoisomerase IB
476	650	COG3593	L	Predicted ATP-dependent endonuclease of the OLD family, contains P-loop ATPase and TOPRIM domains
183	238	COG3598	L	RecA-family ATPase
85	86	COG3611	L	Replication initiation and membrane attachment protein DnaB
402	415	COG3663	L	G:T/U-mismatch repair DNA glycosylase
76	87	COG3723	L	Recombinational DNA repair protein RecT
303	345	COG3727	L	G:T-mismatch repair DNA endonuclease Vsr, very short patch repair protein
213	384	COG3743	L	Predicted 5' DNA nuclease, flap endonuclease-1-like, helix-3-turn-helix (H3TH) domain
8	10	COG3780	L	DNA endonuclease related to intein-encoded endonucleases
385	398	COG3857	L	ATP-dependent helicase/DNAse subunit B
182	200	COG3886	L	HKD family nuclease
311	313	COG3893	L	Inactivated superfamily I helicase
75	75	COG3923	L	Primosomal replication protein N''
172	256	COG3935	L	DNA replication protein DnaD
90	97	COG3972	L	Superfamily I DNA and RNA helicases
256	421	COG3973	L	DNA helicase IV
35	35	COG4047	L	N-glycosylase/DNA lyase (8-oxoguanine DNA glycosylase)
90	91	COG4098	L	Superfamily II DNA/RNA helicase required for DNA uptake (late competence protein)
71	71	COG4199	L	ssDNA-specific exonuclease RecJ
207	383	COG4227	L	Antirestriction protein ArdC
103	109	COG4294	L	UV DNA damage repair endonuclease
177	189	COG4335	L	3-methylpurine DNA glycosylase AlkC
94	98	COG4389	L	Site-specific recombinase
95	97	COG4467	L	Regulator of replication initiation timing YabA
145	181	COG4570	L	Holliday junction resolvase RusA (prophage-encoded endonuclease)
383	542	COG4581	L	Superfamily II RNA helicase
105	132	COG4646	L	Adenine-specific DNA methylase, N12 class
33	41	COG4712	L	Predicted ssDNA annealing protein, contains HHH motif, Rad42/Rad22/RecT/erf family
52	76	COG4817	L	DNA-binding ferritin-like protein (Dps family)
357	438	COG4912	L	3-methyladenine DNA glycosylase AlkD
459	618	COG4973	L	Site-specific recombinase XerC
1246	7290	COG4974	L	Site-specific recombinase XerD
17	17	COG4998	L	Predicted endonuclease, RecB family
5	5	COG5055	L	Recombinational DNA repair protein (RAD52 pathway)
146	673	COG5464	L	Recombination-promoting DNA endonuclease RpnC/YadD
28	35	COG5851	L D	Stage 0 sporulation inhibitor Sda, checkpoint for initiation of sporulation and replication
